1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;1051
23;1595
24;1510
25;1498
26;1494
27;1490
28;1489
29;1489
30;1493
31;1493
32;1542
33;1617
34;1644
35;1644
36;1644
37;1649
38;1663
39;1784
40;1796
41;1795
42;1800
43;1847
44;1864
45;1866
46;1871
47;1871
48;1968
49;2047
50;2054
51;2054
52;2061
53;2054
54;2147
55;2180
56;2242
57;2306
58;2315
59;2314
60;2315
61;2372
62;2445
63;2510
64;2531
65;2650
66;2675
67;2674
68;2675
69;2675
70;2753
71;2894
72;2911
73;2911
74;2909
75;2940
76;3084
77;3105
78;3104
79;3105
80;3156
81;3324
82;3266
83;3344
84;3401
85;3424
86;3528
87;3529
88;3529
89;3510
90;3532
91;3577
92;3789
93;3718
94;3718
95;3738
96;3768
97;3980
98;3949
99;3979
100;4038
101;4067
102;4096
103;4122
104;4155
105;4314
106;4311
107;4283
108;4285
109;4315
110;4523
111;4487
112;4487
113;4523
114;4560
115;4597
116;4673
117;4792
118;4833
119;4833
120;4830
121;4833
122;4830
123;4874
124;5049
125;5049
126;5181
127;5140
128;5141
129;5140
130;5141
131;5286
132;5386
133;5334
134;5336
135;5287
136;5492
137;5547
138;5546
139;5602
140;5715
141;5715
142;5653
143;5658
144;5833
145;5894
146;5833
147;5893
148;5893
149;5954
150;6084
151;6083
152;6150
153;6215
154;6218
155;6219
156;6219
157;6288
158;6360
159;6360
160;6432
161;6507
162;6507
163;6581
164;6581
165;6741
166;6737
167;6740
168;6809
169;6809
170;6906
171;6988
172;6988
173;6906
174;6977
175;6989
176;7064
177;7077
178;7246
179;7259
180;7260
181;7260
182;7260
183;7260
184;7452
185;7452
186;7538
187;7553
188;7532
189;7634
190;7662
191;7745
192;7854
193;7852
194;7854
195;7944
196;7966
197;7965
198;8079
199;8075
200;8080
201;8080
202;8197
203;8215
204;8204
205;8430
206;8441
207;8317
208;8319
209;8336
210;8570
211;8572
212;8571
213;8564
214;8703
215;8704
216;8701
217;8840
218;8973
219;8982
220;8981
221;8853
222;8865
223;8983
224;9121
225;9129
226;9127
227;9132
228;9132
229;9285
230;9278
231;9282
232;9433
233;9439
234;9590
235;9592
236;9600
237;9759
238;9766
239;9759
240;9770
241;9769
242;9933
243;9939
244;9941
245;10115
246;10120
247;10119
248;10303
249;10305
250;10308
251;10306
252;10305
253;10306
254;10304
255;10309
