1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;1807
15;2064
16;2215
17;2313
18;2318
19;2317
20;2318
21;2316
22;2308
23;2306
24;2305
25;2306
26;2306
27;2306
28;2306
29;2307
30;2398
31;2510
32;2554
33;2621
34;2679
35;2780
36;2859
37;2859
38;2914
39;2976
40;3118
41;3198
42;3211
43;3280
44;3379
45;3395
46;3446
47;3499
48;3621
49;3703
50;3749
51;3839
52;3921
53;3935
54;3977
55;4093
56;4170
57;4240
58;4247
59;4286
60;4368
61;4361
62;4390
63;4438
64;4485
65;4541
66;4582
67;4630
68;4656
69;4656
70;4914
71;4914
72;4954
73;4983
74;4986
75;5023
76;5146
77;5135
78;5173
79;5206
80;5234
81;5293
82;5297
83;5337
84;5437
85;5465
86;5472
87;5473
88;5501
89;5562
90;5567
91;5670
92;5704
93;5740
94;5757
95;5757
96;5766
97;5824
98;5925
99;5920
100;5924
101;5953
102;6019
103;6028
104;6073
105;6202
106;6177
107;6197
108;6217
109;6243
110;6301
111;6310
112;6337
113;6478
114;6457
115;6479
116;6479
117;6524
118;6592
119;6593
120;6663
121;6752
122;6751
123;6752
124;6752
125;6783
126;6850
127;6857
128;6882
129;7035
130;7028
131;7029
132;7028
133;7068
134;7128
135;7128
136;7204
137;7307
138;7306
139;7343
140;7372
141;7467
142;7541
143;7542
144;7542
145;7541
146;7542
147;7571
148;7625
149;7719
150;7799
151;7789
152;7792
153;7793
154;7792
155;7832
156;7889
157;7906
158;8030
159;8030
160;8023
161;8023
162;8023
163;8039
164;8047
165;8091
166;8109
167;8116
168;8142
169;8268
170;8278
171;8277
172;8276
173;8286
174;8278
175;8278
176;8313
177;8278
178;8314
179;8361
180;8389
181;8425
182;8551
183;8551
184;8551
185;8551
186;8561
187;8571
188;8570
189;8590
190;8619
191;8619
192;8648
193;8668
194;8770
195;8779
196;8781
197;8790
198;8790
199;8789
200;8811
201;8862
202;8904
203;9009
204;9074
205;9085
206;9085
207;9085
208;9084
209;9085
210;9107
211;9139
212;9140
213;9162
214;9175
215;9175
216;9196
217;9242
218;9253
219;9286
220;9298
221;9321
222;9343
223;9344
224;9367
225;9403
226;9426
227;9449
228;9450
229;9498
230;9510
231;9510
232;9533
233;9558
234;9582
235;9607
236;9607
237;9633
238;9659
239;9670
240;9683
241;9721
242;9744
243;9758
244;9769
245;9783
246;9808
247;9808
248;9833
249;9871
250;9886
251;9911
252;9910
253;9935
254;9975
255;10027
